S.No,Q.No,Problem,SuccessRate,Difficulty,CHECK,#Topic Coverd,Notes,,,,,,,,,,,,,,,,,
1,175,Combine Two Tables,0.78%,Easy,,,,,,,,,,,,,,,,,,,,
2,176,Second Highest Salary,0.44%,Med.,,,,,,,,,,,,,,,,,,,,
3,177,Nth Highest Salary,0.38%,Med.,,,,,,,,,,,,,,,,,,,,
4,178,Rank Scores,0.66%,Med.,,,,,,,,,,,,,,,,,,,,
5,180,Consecutive Numbers,0.46%,Med.,,,,,,,,,,,,,,,,,,,,
6,181,Employees Earning More Than Their Managers,0.72%,Easy,,,,,,,,,,,,,,,,,,,,
7,182,Duplicate Emails,0.73%,Easy,,,,,,,,,,,,,,,,,,,,
8,183,Customers Who Never Order,0.71%,Easy,,,,,,,,,,,,,,,,,,,,
9,184,Department Highest Salary,0.55%,Med.,,,,,,,,,,,,,,,,,,,,
10,185,Department Top Three Salaries,0.58%,Hard,,,,,,,,,,,,,,,,,,,,
11,196,Delete Duplicate Emails,0.65%,Easy,,,,,,,,,,,,,,,,,,,,
12,197,Rising Temperature,0.50%,Easy,,,,,,,,,,,,,,,,,,,,
13,262,Trips and Users,0.37%,Hard,,,,,,,,,,,,,,,,,,,,
14,511,Game Play Analysis I,0.76%,Easy,,,,,,,,,,,,,,,,,,,,
15,512,Game Play Analysis II,0.54%,Easy,,,,,,,,,,,,,,,,,,,,
16,534,Game Play Analysis III,0.81%,Med.,,,,,,,,,,,,,,,,,,,,
17,550,Game Play Analysis IV,0.40%,Med.,,,,,,,,,,,,,,,,,,,,
18,569,Median Employee Salary,0.66%,Hard,,,,,,,,,,,,,,,,,,,,
19,570,Managers with at Least 5 Direct Reports,0.49%,Med.,,,,,,,,,,,,,,,,,,,,
20,571,Find Median Given Frequency of Numbers,0.42%,Hard,,,,,,,,,,,,,,,,,,,,
21,574,Winning Candidate,0.62%,Med.,,,,,,,,,,,,,,,,,,,,
22,577,Employee Bonus,0.77%,Easy,,,,,,,,,,,,,,,,,,,,
23,578,Get Highest Answer Rate Question,0.40%,Med.,,,,,,,,,,,,,,,,,,,,
24,579,Find Cumulative Salary of an Employee,0.49%,Hard,,,,,,,,,,,,,,,,,,,,
25,580,Count Student Number in Departments,0.60%,Med.,,,,,,,,,,,,,,,,,,,,
26,584,Find Customer Referee,0.72%,Easy,,,,,,,,,,,,,,,,,,,,
27,585,Investments in 2016,0.50%,Med.,,,,,,,,,,,,,,,,,,,,
28,586,Customer Placing the Largest Number of Orders,0.64%,Easy,,,,,,,,,,,,,,,,,,,,
29,595,Big Countries,0.68%,Easy,,,,,,,,,,,,,,,,,,,,
30,596,Classes With at Least 5 Students,0.61%,Easy,,,,,,,,,,,,,,,,,,,,
31,597,Friend Requests I: Overall Acceptance Rate,0.41%,Easy,,,,,,,,,,,,,,,,,,,,
32,601,Human Traffic of Stadium,0.50%,Hard,,,,,,,,,,,,,,,,,,,,
33,602,Friend Requests II: Who Has the Most Friends,0.61%,Med.,,,,,,,,,,,,,,,,,,,,
